
0,325.92838,357.90363,292.7958,400.29065,245.44458,323.9279,288.8104,287.53232,312.14453,311.5707
0,327.04318,358.85757,293.79517,400.2124,245.24521,324.20758,289.11252,287.22125,312.05118,310.38422
0,327.2293,359.79523,293.91183,402.1341,246.17389,323.34424,288.8278,286.9656,314.1278,312.43533
0,327.4504,359.8395,294.0072,402.12332,246.09064,322.86118,288.4531,286.79532,313.9799,312.81873
0,327.71136,359.78888,293.83868,401.73874,245.5819,323.25067,288.2142,286.97656,312.81952,312.6924
0,327.48227,359.54202,294.0521,401.4953,246.35623,322.06598,288.10175,286.55444,313.7841,313.00848
0,327.34445,359.41873,293.8153,401.7922,246.02179,321.71033,288.09308,286.77042,314.2481,313.99612
0,327.94092,360.1555,294.21796,402.37128,246.01547,322.01813,288.05756,286.47757,314.33197,313.53766
0,328.50165,360.3299,294.6308,401.80945,246.00882,322.11902,288.29572,286.6049,314.52704,313.86252
0,328.26205,360.1665,294.2442,402.01248,245.80475,322.09293,287.9383,286.58463,314.26593,314.28592
0,328.8297,361.3291,294.44385,403.65466,245.66399,321.43924,287.39288,285.876,314.89868,314.62024
0,336.6208,366.98013,300.0323,405.4731,247.44714,321.77652,286.88382,286.13208,312.5161,315.3841
0,337.87042,367.3836,301.40598,404.95456,249.00793,321.43933,286.1432,285.65057,311.1795,314.76505
0,341.83524,369.2866,304.53848,404.20905,250.97467,320.1942,285.07056,285.4316,309.76367,316.13165
0,348.9278,374.63126,309.15283,407.03253,251.74078,316.60654,281.62976,282.9589,306.07745,316.12613
0,348.93057,374.64032,309.25955,407.32068,252.18546,316.6455,281.664,283.10706,305.9515,316.10492
0,348.44562,374.3404,309.00543,407.33313,252.05264,316.19006,282.03543,283.28897,306.761,316.48376
0,349.1263,373.8526,310.7516,404.42377,253.015,315.40942,281.7659,281.88748,305.29395,312.6144
0,349.66425,374.66577,311.67438,403.8496,252.45088,314.4037,282.0913,280.20047,307.098,310.2557
0,348.74228,374.21268,310.12357,404.53098,251.30644,315.42084,282.12982,281.05273,306.96725,311.84232
0,348.61868,374.2766,309.7534,405.839,252.0268,315.65363,281.91965,281.89008,306.90695,313.9819
0,348.36115,374.15076,309.84372,405.99164,252.6781,315.9236,282.3312,282.12952,307.64282,314.22864
0,348.93256,374.3814,310.2275,405.2281,252.27666,316.9748,282.66168,282.4333,307.23163,313.79926
0,348.25888,374.37775,309.63474,406.3818,252.12561,316.15558,282.4478,282.01605,308.19345,314.23413
0,347.8579,373.95538,309.25165,406.46573,252.40332,315.6155,281.9231,282.01624,307.61072,314.7039
0,348.5878,374.60892,309.48395,406.1563,251.12576,316.54984,282.50623,282.0457,308.09384,314.27374
0,348.79468,374.5293,310.3559,406.00723,252.89603,316.31897,282.6315,282.1586,308.13043,314.14392
0,348.73715,374.67917,310.10068,406.0965,252.1698,316.72684,283.02237,282.3384,308.53604,314.1221
0,348.1016,374.51724,309.5361,406.48657,252.20938,316.70865,282.81177,282.1145,308.78198,314.14716
0,345.43912,371.8524,308.2774,404.0692,251.7749,317.48306,285.21518,283.9373,310.26074,313.81668
0,343.78186,370.5291,306.6543,403.76953,251.71518,318.7475,284.48572,284.04883,308.45895,313.32663
0,341.48264,369.42438,303.6239,405.21725,249.5813,317.36542,283.23517,283.56042,309.74265,316.28168
0,334.38266,364.42188,297.9815,403.7414,247.05562,318.05865,283.91238,283.94406,311.52637,316.13727
0,332.1215,363.72546,296.36145,404.43384,245.67404,318.3949,285.01395,283.64438,314.27362,315.39227
0,331.0919,362.0091,295.97018,402.93365,246.72404,318.5108,285.43555,284.77133,314.4329,316.897
0,328.5351,360.37537,294.65936,402.44653,246.79285,318.84854,285.9234,284.58435,314.8021,315.01218
0,324.72287,356.73395,291.4852,399.54736,244.26337,317.4228,285.4759,283.98813,314.63635,314.2126
0,323.52692,355.80264,290.57913,399.11856,243.97824,318.6578,286.11304,284.70715,314.37726,313.7934
0,322.74567,355.11484,290.1222,398.48108,243.87,319.3264,286.56534,284.8797,314.65704,313.3478
0,322.83762,354.8886,289.9185,398.2922,243.8649,318.7598,285.7759,284.79385,313.64493,313.90277
